Sheet_To_Update,Deliverable,Category,Clause,Test No,Subtest No,Readable_Name,Test Details,File_Name,PSSE,PSCAD,Grid_SCR,Post_Fault_SCR,Grid_FL_MVA_sig,Grid_X2R_sig,Final_Grid_X2R_sig,Vpoc_pu_sig,Qpoc_pu,Qpoc_MVAr_sig,Vref_pu_sig,Ppoc_pu,Ppoc_MW_sig,PLR_MW_sig,Fault_Type,Fault_Type_sig,Fault_Time_sig,Fault_Duration_sig,Fault_Impedance,Fault_X2R_sig,Ures_sig,Zf2Zs_sig,Rf_Offset_sig,Xf_Offset_sig,Fault_Timing_Signal_sig,Post_Init_Duration_s,PSSE Commands,Vslack_pu_sig,Model_Relpath,U_Ov,Control Mode,PPM_Config_File_Number_gs,Reference,Plotter Table,Appendix_Name_PSCAD,Appendix_Letter_PSCAD,Appendix_Name_PSSE,Appendix_Letter_PSSE,Report
3215_ORT_CRG,,,,,,Test No,,,,,SCR,,,X/R,,,Qpoc [pu],,,Ppoc [pu],,,,,,,,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
3216_PhaseSteps,,,,,,Test No,,,,,SCR,,,X/R,,,Qpoc [pu],,,Ppoc [pu],,,,,,,,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
3216_PhaseSteps_CRG,,,,,,Test No,,,,,SCR,,,X/R,,,Qpoc [pu],,,Ppoc [pu],,,,,,,,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
3217_Pref_POC_SCR1,,,,,,Test No,,,,,SCR,,,X/R,,Vpoc [pu],Qpoc [pu],,Vref [pu],,,,,,,,,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
3217_Pref_POC_SCR1_CRG,,,,,,Test No,,,,,SCR,,,X/R,,Vpoc [pu],Qpoc [pu],,Vref [pu],,,,,,,,,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
3218_SCR_Change_Faults_SCR1,,,,,,Test No,,,,,SCR,,,X/R,,Vpoc [pu],Qpoc [pu],,Vref [pu],Ppoc [pu],,,Type,,,Duration [s],Impedance,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
3218_SCR_Change_Faults_SCR1_CRG,,,,,,Test No,,,,,SCR,,,X/R,,Vpoc [pu],Qpoc [pu],,Vref [pu],Ppoc [pu],,,Type,,,Duration [s],Impedance,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
SCR_Change_Faults_POC,,,,,,Test No,,,,,SCR (initial),SCR (final),,X/R (initial),X/R (final),Vpoc [pu],Qpoc [pu],,Vref [pu],Ppoc [pu],,,Type,,,Duration [s],Impedance,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
SCR_Change_Faults_POC_CRG,,,,,,Test No,,,,,SCR (initial),SCR (final),,X/R (initial),X/R (final),Vpoc [pu],Qpoc [pu],,Vref [pu],Ppoc [pu],,,Type,,,Duration [s],Impedance,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
3220_Input_Power,,,,,,Test No,,,,,SCR,,,X/R,,,Qpoc [pu],,,Ppoc [pu],,,,,,,,,,,,,,,,,,,,,,,Appendix Reference ,,Appendix Reference ,,
