CONs,Value,Description
J+68,1,EXTPRJMAXP - External project P max (p.u. on external MBASE)
J+69,-1,EXTPRJMINP - External project P min (p.u. on external MBASE)
J+70,1,EXTPRJMAXQ - External project Q max (p.u. on external MBASE)
J+71,-1,EXTPRJMINQ - External project Q min (p.u. on external MBASE)
J+72,0.8,KQF1 - Reactive power participation factor local project
J+73,0.2,KQF2 - Reactive power participation factor remote project
J+74,0.1,TQ1 - Time delay for Q local inverter command (joint control). sec
J+75,0.1,TQ2 - Time delay for Q external inverter command (joint control). sec
J+76,0.4,Tfrzppc - Extra Time delay for PPC. sec
J+77,1.06,VCNTR - Voltage center for droop curve. pu
J+78,0.68,PMAXPOC - Maximum active power at POC. pu
J+79,-0.68,PMINPOC - Minimum active power at POC. pu
J+80,0.266009,QMAXPOC - Maximum reactive power at POC. pu
J+81,-0.266009,QMINPOC - Minimum reactive power at POC. pu
J+82,0.2,PDFDTF1 - 1st Positive dfDT. Hz/s
J+83,0.5,PDFDTF2 - 2nd Positive dfDT. Hz/s
J+84,1,PDFDTF3 - 3rd Positive dfDT. Hz/s
J+85,-0.01,PDFDTP1 - 1st Power for Positive dfDT. pu
J+86,-0.02,PDFDTP2 - 2nd Power for Positive dfDT. pu
J+87,-0.05,PDFDTP3 - 3rd Power for Positive dfDT. pu
J+88,-0.2,NDFDTF1 - 1st Negative dfDT. Hz/s
J+89,-0.5,NDFDTF2 - 2nd Negative dfDT. Hz/s
J+90,-1,NDFDTF3 - 3rd Negative dfDT. Hz/s
J+91,0.01,NDFDTP1 - 1st Power for Negative dfDT. pu
J+92,0.02,NDFDTP2 - 2nd Power for Negative dfDT. pu
J+93,0.05,NDFDTP3 - 3rd Power for Negative dfDT. pu
J+94,0.5,T_SISL - SISL dfDT rolling time window (s)
J+95,0.02,T_DFDT - dfDT measurement delay (s)
J+96,0.5,TwP - P POD Washout filter time constant (s)
J+97,-0.1,POD_MINP - P POD Min. POD contribution (pu)
J+98,0.1,POD_MAXP - P POD Max. POD contribution (pu)
J+99,0.245,T1P - P POD Lead Time Constant (s)
J+100,0.411,T2P - P POD Lag Time Constant (s)
J+101,1,K_PODP - Q POD Gain
J+102,1,exp_PPOD - P POD Gain exponent ()
J+103,0.5,TwQ - Q POD Washout filter time constant (s)
J+104,-0.1,POD_MINQ - Q POD Max. POD contribution (pu)
J+105,0.1,POD_MAXQ - Q POD Min. POD contribution (pu)
J+106,0.2,T1Q - Q POD Lead Time Constant (s)
J+107,0.4,T2Q - Q POD Lag Time Constant (s)
J+108,1,K_PODQ - Q POD Gain
J+109,1,exp_QPODQ - Q POD Gain exponent ()
J+110,0.3,INT_CON - Internal CON
J+111,49.5,LFDDDB - Start frequency for the LFDD function (Hz)
J+112,49.1,LFDDMIN - Minimum frequency defining the LFDD function (Hz)
J+113,1.1,VCMD_MAX - Maximum limit for the Vcmd (pu)
J+114,0.95,VCMD_MIN - Minimum limit for the Vcmd (pu)
J+115,0.3,KVCMD - Feed forward gain of the Vcmd
J+116,1.05,FCMD_MAX - Maximum limit for the Fcmd (pu)
J+117,0.95,FCMD_MIN - Minimum limit for the Fcmd (pu)
J+118,0.3,KFCMD - Feed forward gain of the Fcmd
J+119,0.02,TVC - Time delay for V inverter command. sec
J+120,0.02,TFC - Time delay for F inverter command. sec
J+121,0.08,Internal Use
J+122,423.2,Plant MVA Base
J+123,0.03,Internal Use
