Name,Iq Settling Time (s),Iq Rise Time (s),Ppoc Recovery Time (s),Enters FRT,Assessment
CSR_5255_CSRUnbalancedFaults_039_FL3185_X2R11.24_P1_Q1_V1.06,0.0475,0.0125,0.1415,TRUE,Compliant
CSR_5255_CSRBalancedFaults_054_FL5591_X2R12.04_P0.05_Q1_V1.06,0.0475,0.01125,0.201,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_027_FL5591_X2R12.04_P1_Q1_V1.06,0.0475,0.01,0.09125,TRUE,Compliant
CSR_5255_CSRBalancedFaults_051_FL5591_X2R12.04_P1_Q1_V1.06,0.04625,0.0125,0.13725,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_005_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.04625,0.0125,0.16325,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_017_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.04625,0.0125,0.17175,TRUE,Compliant
CSR_5255_CSRBalancedFaults_066_FL3185_X2R11.24_P0.05_Q1_V1.06,0.04625,0.01125,0.19025,TRUE,Compliant
CSR_5255_CSRBalancedFaults_028_FL5591_X2R12.04_P0.05_Q0_V1.06,0.045,0.0125,0.1615,TRUE,Compliant
CSR_5255_CSRBalancedFaults_040_FL3185_X2R11.24_P0.05_Q0_V1.06,0.045,0.0125,0.1645,TRUE,Compliant
CSR_5255_CSRBalancedFaults_052_FL5591_X2R12.04_P0.05_Q0_V1.06,0.0425,0.01375,0.21325,TRUE,Compliant
CSR_5255_CSRBalancedFaults_064_FL3185_X2R11.24_P0.05_Q0_V1.06,0.04125,0.0125,0.201,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_029_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.04,0.0125,0.10625,TRUE,Compliant
CSR_5255_CSRBalancedFaults_029_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.03875,0.01375,0.1585,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_025_FL5591_X2R12.04_P1_Q0_V1.06,0.03875,0.01375,0.09425,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_053_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.03875,0.01375,0.093,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_077_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.03875,0.01375,0.093,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_041_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.03875,0.0125,0.19175,TRUE,Compliant
CSR_5255_CSRBalancedFaults_041_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.0375,0.01375,0.1615,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_002_FL5591_X2R12.04_P1_Q-1_V1.06,0.0375,0.01375,0.136,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_037_FL3185_X2R11.24_P1_Q0_V1.06,0.0375,0.01375,0.1415,TRUE,Compliant
CSR_5255_CSRBalancedFaults_050_FL5591_X2R12.04_P1_Q-1_V1.06,0.03375,0.01625,0.1355,TRUE,Compliant
CSR_5255_CSRBalancedFaults_062_FL3185_X2R11.24_P1_Q-1_V1.06,0.03375,0.01625,0.13975,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_050_FL5591_X2R12.04_P1_Q-1_V1.06,0.03375,0.01375,0.1365,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_074_FL5591_X2R12.04_P1_Q-1_V1.06,0.03375,0.01375,0.1365,TRUE,Compliant
CSR_5255_CSRBalancedFaults_038_FL3185_X2R11.24_P1_Q-1_V1.06,0.0325,0.015,0.141,TRUE,Compliant
CSR_5255_CSRBalancedFaults_049_FL5591_X2R12.04_P1_Q0_V1.06,0.0325,0.015,0.1365,TRUE,Compliant
CSR_5255_CSRBalancedFaults_087_FL3185_X2R11.24_P1_Q1_V1.06,0.0325,0.015,0.1335,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_038_FL3185_X2R11.24_P1_Q-1_V1.06,0.0325,0.015,0.14,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_097_FL5591_X2R12.04_P1_Q0_V1.06,0.0325,0.015,0.13675,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_110_FL3185_X2R11.24_P1_Q-1_V1.06,0.0325,0.015,0.1005,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_134_FL3185_X2R11.24_P1_Q-1_V1.06,0.0325,0.015,0.14,TRUE,Compliant
CSR_5255_CSRBalancedFaults_025_FL5591_X2R12.04_P1_Q0_V1.06,0.03125,0.01375,0.137,TRUE,Compliant
CSR_5255_CSRBalancedFaults_026_FL5591_X2R12.04_P1_Q-1_V1.06,0.03125,0.01375,0.13625,TRUE,Compliant
CSR_5255_CSRBalancedFaults_037_FL3185_X2R11.24_P1_Q0_V1.06,0.03125,0.01375,0.142,TRUE,Compliant
CSR_5255_CSRBalancedFaults_053_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.03125,0.01375,0.09775,TRUE,Compliant
CSR_5255_CSRBalancedFaults_061_FL3185_X2R11.24_P1_Q0_V1.06,0.03125,0.01375,0.1415,TRUE,Compliant
CSR_5255_CSRBalancedFaults_063_FL3185_X2R11.24_P1_Q1_V1.06,0.03125,0.01375,0.14275,TRUE,Compliant
CSR_5255_CSRBalancedFaults_065_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.03125,0.01375,0.196,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_014_FL3185_X2R11.24_P1_Q-1_V1.06,0.03125,0.01375,0.1405,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_026_FL5591_X2R12.04_P1_Q-1_V1.06,0.03125,0.01375,0.09325,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_099_FL5591_X2R12.04_P1_Q1_V1.06,0.03125,0.0125,0.1355,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_103_FL5591_X2R12.04_P-1_Q0_V1.06,0.07,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_127_FL5591_X2R12.04_P-1_Q0_V1.06,0.07,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_033_FL5591_X2R12.04_P-1_Q1_V1.06,0.07,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_007_FL5591_X2R12.04_P-1_Q0_V1.06,0.06875,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_019_FL3185_X2R11.24_P-1_Q0_V1.06,0.06875,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_105_FL5591_X2R12.04_P-1_Q1_V1.06,0.06875,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_129_FL5591_X2R12.04_P-1_Q1_V1.06,0.06875,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_116_FL3185_X2R11.24_P-1_Q-1_V1.06,0.06625,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_069_FL3185_X2R11.24_P-1_Q1_V1.06,0.06625,0.005,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_140_FL3185_X2R11.24_P-1_Q-1_V1.06,0.065,0.0125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_019_FL3185_X2R11.24_P-1_Q0_V1.06,0.0625,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_012_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.0625,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_074_FL5591_X2R12.04_P1_Q-1_V1.06,0.0625,0.00875,0.02,TRUE,Compliant
CSR_5255_CSRBalancedFaults_086_FL3185_X2R11.24_P1_Q-1_V1.06,0.06125,0.00875,0.01975,TRUE,Compliant
CSR_5255_CSRBalancedFaults_007_FL5591_X2R12.04_P-1_Q0_V1.06,0.06,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_009_FL5591_X2R12.04_P-1_Q1_V1.06,0.06,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_021_FL3185_X2R11.24_P-1_Q1_V1.06,0.06,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_108_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.06,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_120_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.06,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_132_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.06,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_144_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.06,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_036_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.05875,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_048_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.05875,0.01,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_080_FL5591_X2R12.04_P-1_Q-1_V1.06,0.05875,0.00875,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_092_FL3185_X2R11.24_P-1_Q-1_V1.06,0.05875,0.00875,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_036_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.0575,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_072_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.0575,0.01125,0.00075,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_084_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.0575,0.01125,0.00125,TRUE,Compliant
CSR_5255_CSRBalancedFaults_022_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.05625,0.01375,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_070_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.05625,0.0125,0.0005,TRUE,Compliant
CSR_5255_CSRBalancedFaults_048_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.05625,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_010_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.055,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_082_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.055,0.0125,0.00125,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_081_FL5591_X2R12.04_P-1_Q1_V1.06,0.0525,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_020_FL3185_X2R11.24_P-1_Q-1_V1.06,0.05125,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_079_FL5591_X2R12.04_P-1_Q0_V1.06,0.05125,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_033_FL5591_X2R12.04_P-1_Q1_V1.06,0.05125,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_106_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.05125,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_118_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.05125,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_130_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.05125,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_142_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.05125,0.01,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_008_FL5591_X2R12.04_P-1_Q-1_V1.06,0.05,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_107_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.05,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_131_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.05,0.0125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_072_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.05,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_045_FL3185_X2R11.24_P-1_Q1_V1.06,0.05,0.01,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_011_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.04875,0.01375,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_023_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.04875,0.01375,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_119_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.04875,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_143_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.04875,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_010_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.04875,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_022_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.04875,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_034_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.04875,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_104_FL5591_X2R12.04_P-1_Q-1_V1.06,0.0475,0.01375,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_128_FL5591_X2R12.04_P-1_Q-1_V1.06,0.0475,0.01375,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_046_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.0475,0.0125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_060_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.0475,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_069_FL3185_X2R11.24_P-1_Q1_V1.06,0.0475,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_046_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.0475,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_057_FL5591_X2R12.04_P-1_Q1_V1.06,0.0475,0.01,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_034_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.04625,0.01375,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_011_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.04625,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_023_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.04625,0.0125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_031_FL5591_X2R12.04_P-1_Q0_V1.06,0.04625,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_043_FL3185_X2R11.24_P-1_Q0_V1.06,0.04625,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_081_FL5591_X2R12.04_P-1_Q1_V1.06,0.045,0.01625,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_093_FL3185_X2R11.24_P-1_Q1_V1.06,0.045,0.01375,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_020_FL3185_X2R11.24_P-1_Q-1_V1.06,0.045,0.01125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_031_FL5591_X2R12.04_P-1_Q0_V1.06,0.045,0.01,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_043_FL3185_X2R11.24_P-1_Q0_V1.06,0.04375,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_032_FL5591_X2R12.04_P-1_Q-1_V1.06,0.0425,0.0125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_055_FL5591_X2R12.04_P-1_Q0_V1.06,0.0425,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_008_FL5591_X2R12.04_P-1_Q-1_V1.06,0.0425,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_091_FL3185_X2R11.24_P-1_Q0_V1.06,0.0425,0.00875,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_047_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.04125,0.01375,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_070_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.04125,0.01375,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_076_FL5591_X2R12.04_P0.05_Q0_V1.06,0.04125,0.01,0.036,TRUE,Compliant
CSR_5255_CSRBalancedFaults_077_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.04125,0.01,0.03575,TRUE,Compliant
CSR_5255_CSRBalancedFaults_082_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.04125,0.01,0.04275,TRUE,Compliant
CSR_5255_CSRBalancedFaults_083_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.04125,0.01,0.041,TRUE,Compliant
CSR_5255_CSRBalancedFaults_089_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.04125,0.01,0.03725,TRUE,Compliant
CSR_5255_CSRBalancedFaults_095_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.04125,0.01,0.04775,TRUE,Compliant
CSR_5255_CSRBalancedFaults_067_FL3185_X2R11.24_P-1_Q0_V1.06,0.04,0.01375,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_044_FL3185_X2R11.24_P-1_Q-1_V1.06,0.04,0.0125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_058_FL5591_X2R12.04_P-0.05_Q0_V1.06,0.04,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_080_FL5591_X2R12.04_P-1_Q-1_V1.06,0.04,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_032_FL5591_X2R12.04_P-1_Q-1_V1.06,0.04,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_088_FL3185_X2R11.24_P0.05_Q0_V1.06,0.04,0.01,0.03775,TRUE,Compliant
CSR_5255_CSRBalancedFaults_090_FL3185_X2R11.24_P0.05_Q1_V1.06,0.04,0.01,0.0385,TRUE,Compliant
CSR_5255_CSRBalancedFaults_094_FL3185_X2R11.24_P-0.05_Q0_V1.06,0.04,0.01,0.05,TRUE,Compliant
CSR_5255_CSRBalancedFaults_096_FL3185_X2R11.24_P-0.05_Q1_V1.06,0.04,0.01,0.05175,TRUE,Compliant
CSR_5255_CSRBalancedFaults_035_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.03875,0.01375,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_071_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.03875,0.01375,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_083_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.03875,0.01375,0.001,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_035_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.03875,0.0125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_079_FL5591_X2R12.04_P-1_Q0_V1.06,0.03875,0.00875,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_047_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.0375,0.0125,0,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_044_FL3185_X2R11.24_P-1_Q-1_V1.06,0.0375,0.01125,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_073_FL5591_X2R12.04_P1_Q0_V1.06,0.0375,0.01,0.025,TRUE,Compliant
CSR_5255_CSRBalancedFaults_085_FL3185_X2R11.24_P1_Q0_V1.06,0.0375,0.00875,0.02175,TRUE,Compliant
CSR_5255_CSRBalancedFaults_068_FL3185_X2R11.24_P-1_Q-1_V1.06,0.0325,0.015,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_056_FL5591_X2R12.04_P-1_Q-1_V1.06,0.03125,0.01375,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_059_FL5591_X2R12.04_P-0.05_Q-1_V1.06,0.03125,0.01375,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_071_FL3185_X2R11.24_P-0.05_Q-1_V1.06,0.03125,0.01375,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_078_FL5591_X2R12.04_P0.05_Q1_V1.06,0.0275,0.01,0,TRUE,Compliant
CSR_5255_CSRBalancedFaults_084_FL5591_X2R12.04_P-0.05_Q1_V1.06,0.0275,0.01,0,TRUE,Compliant
